lambda,epoch,val_acc,val_ce,train_ce,train_embed_loss,embed_frac,test_acc,test_ce,step
1.0,0.23,0.635321774904496,1.5536311790325206,1.8626713478565216,0.1467744698189199,0.073,,,200.0
1.0,0.47,0.6544225683220688,1.481599193450601,1.6016383844614028,0.13214399479329586,0.0762,,,400.0
1.0,0.7,0.658830443726124,1.4501729697698431,1.553436633348465,0.12570774164050819,0.0749,,,600.0
1.0,0.94,0.67234792829856,1.3996550335783906,1.5614048191905021,0.12586876034736633,0.0746,,,800.0
1.0,1.17,0.6661769027328828,1.4266986798362595,1.1439161647856235,0.09590050360187888,0.0774,,,1000.0
1.0,1.41,0.669703203056127,1.4231153186492769,1.008616878837347,0.08471673258580267,0.0775,,,1200.0
1.0,1.64,0.6738172200999119,1.4367860306055449,1.0035087332129478,0.08515151800587774,0.0782,,,1400.0
1.0,1.88,0.675580370261534,1.4181015338839553,1.0660753963887692,0.08872271917760371,0.0768,,,1600.0
1.0,2.11,0.675580370261534,1.4708709664338482,0.8233505283819977,0.07037615756504238,0.0787,,,1800.0
1.0,2.35,0.6746987951807228,1.4731691451395676,0.6672126884758472,0.05641122520901263,0.078,,,2000.0
1.0,2.58,0.6752865119012635,1.455974417812783,0.6490336657315493,0.05666290185414255,0.0803,,,2200.0
1.0,2.82,0.6744049368204525,1.4547847080784198,0.654518420174718,0.05673483477905392,0.0798,,,2400.0
1.0,3.05,0.6694093446958566,1.534181573050813,0.6134126828983426,0.05423882419243455,0.0812,,,2600.0
1.0,3.29,0.6788128122245077,1.518891890522595,0.38443627435714006,0.03395503019914031,0.0812,,,2800.0
1.0,3.52,0.6714663532177491,1.52188491222265,0.407217789888382,0.03608102915808559,0.0814,,,3000.0
1.0,3.76,0.6752865119012635,1.5310054752530156,0.42574228025972843,0.03697549452073872,0.0799,,,3200.0
1.0,3.99,0.6717602115780194,1.5583904496394918,0.4377394391968846,0.03820787888020277,0.0803,,,3400.0
1.0,4.23,0.6714663532177491,1.6086594422547353,0.2785268744081259,0.02511634837836027,0.0827,,,3600.0
1.0,4.46,0.6714663532177491,1.6206703916511709,0.24741665611043573,0.021735731391236187,0.0808,,,3800.0
1.0,4.69,0.6738172200999119,1.6043868454508736,0.2581077117100358,0.022713914215564728,0.0809,,,4000.0
1.0,final,0.6788128122245077,,,,,0.6870408463120776,1.4957524804623379,2800.0
0.5,0.23,0.636203349985307,1.551644989787709,1.885394729077816,0.1495885330811143,0.0382,,,200.0
0.5,0.47,0.6582427270055833,1.4782076591678903,1.6275696688890458,0.13203558884561062,0.039,,,400.0
0.5,0.7,0.6614751689685572,1.4475222874171167,1.5164891746640206,0.12288880607113242,0.0389,,,600.0
0.5,0.94,0.6685277696150456,1.4010224394279125,1.5591224837303161,0.1267881765961647,0.0391,,,800.0
0.5,1.17,0.6655891860123421,1.4326134473304346,1.1602586287260055,0.09801895923912525,0.0405,,,1000.0
0.5,1.41,0.6717602115780194,1.4146960397397914,1.0320780621469021,0.08738141424953938,0.0406,,,1200.0
0.5,1.64,0.6732295033793712,1.4116834165102028,1.0356501093506814,0.08747818138450385,0.0405,,,1400.0
0.5,1.88,0.6761680869820746,1.402742619387304,1.0077671749889852,0.08510638040490448,0.0405,,,1600.0
0.5,2.11,0.67234792829856,1.4799793605336085,0.8124137864261866,0.07078117924742401,0.0417,,,1800.0
0.5,2.35,0.6691154863355863,1.4790114476650629,0.6418152540922165,0.05513469373807311,0.0412,,,2000.0
0.5,2.58,0.6770496620628856,1.4741168599635968,0.6401061617583036,0.05576362911611796,0.0417,,,2200.0
0.5,2.82,0.6802821040258595,1.4613964947626377,0.6755251039564609,0.05823686433956027,0.0413,,,2400.0
0.5,3.05,0.6796943873053188,1.5000622722109802,0.5834519131109118,0.05086321241222322,0.0418,,,2600.0
0.5,3.29,0.6770496620628856,1.5275435011911631,0.39147683639079334,0.03490225709043443,0.0427,,,2800.0
0.5,3.52,0.6744049368204525,1.5266203725649754,0.38644756549969317,0.03339653703384102,0.0414,,,3000.0
0.5,3.76,0.6729356450191007,1.5470776723004285,0.41039463005959986,0.036222005737945435,0.0423,,,3200.0
0.5,3.99,0.6691154863355863,1.5640270815608854,0.4374721857532859,0.03911454279907048,0.0428,,,3400.0
0.5,4.23,0.6685277696150456,1.613168740396005,0.2398790252767503,0.02113491414114833,0.0422,,,3600.0
0.5,final,0.6802821040258595,,,,,0.677343520423156,1.4418782940549848,2400.0
0.1,0.23,0.629444607699089,1.5561409391202263,1.8388282570242882,0.14432898331433536,0.0078,,,200.0
0.1,0.47,0.6500146929180135,1.4728581128385254,1.6546572509407997,0.13304448291659354,0.008,,,400.0
0.1,0.7,0.6594181604466647,1.422941018457522,1.5552624809741973,0.12739824183285237,0.0081,,,600.0
0.1,0.94,0.6714663532177491,1.39538488166843,1.5276554718613624,0.12381690045818687,0.008,,,800.0
0.1,1.17,0.6688216279753159,1.4291380028794032,1.130581873394549,0.09553543822839856,0.0084,,,1000.0
0.1,1.41,0.6746987951807228,1.4033754417695194,1.0074664510786533,0.08538748691789806,0.0084,,,1200.0
0.1,1.64,0.6732295033793712,1.4382295784549506,1.0159976328909397,0.08559539739042521,0.0084,,,1400.0
0.1,1.88,0.6741110784601821,1.4117246555679517,0.9973687322437763,0.0855584329739213,0.0085,,,1600.0
0.1,2.11,0.6744049368204525,1.463134529658566,0.8098696139547974,0.06996032745577395,0.0086,,,1800.0
0.1,2.35,0.6794005289450484,1.4552722286247977,0.6502375146746635,0.0561936366558075,0.0086,,,2000.0
0.1,2.58,0.6688216279753159,1.4815491086554604,0.6370199881866574,0.055787468291819096,0.0087,,,2200.0
0.1,2.82,0.6661769027328828,1.5028258445392173,0.6281651712208987,0.05575966970063746,0.0088,,,2400.0
0.1,3.05,0.6726417866588305,1.5119920935993014,0.5997365253645693,0.05300383348949254,0.0088,,,2600.0
0.1,3.29,0.6620628856890979,1.5355900534848204,0.36830457873642447,0.032197193475440145,0.0087,,,2800.0
0.1,3.52,0.6694093446958566,1.5706376260496258,0.38035586576908825,0.03421076796017587,0.0089,,,3000.0
0.1,3.76,0.669703203056127,1.538927435664755,0.40103823781013487,0.03615396332927048,0.0089,,,3200.0
0.1,final,0.6794005289450484,,,,,0.6785189538642374,1.4423381576739862,2000.0
0.0,0.23,0.6435498089920658,1.533205259066976,1.889543639421463,0.0,0.0,,,200.0
0.0,0.47,0.6532471348809874,1.4551759820596772,1.6119311192631722,0.0,0.0,,,400.0
0.0,0.7,0.6620628856890979,1.4372872808664083,1.5403949958086014,0.0,0.0,,,600.0
0.0,0.94,0.669703203056127,1.398676507128991,1.5130597153306007,0.0,0.0,,,800.0
0.0,1.17,0.6691154863355863,1.4208139009486918,1.1723852693341905,0.0,0.0,,,1000.0
0.0,1.41,0.6720540699382898,1.4195740550992912,0.9901575894653797,0.0,0.0,,,1200.0
0.0,1.64,0.6767558037026153,1.4262856992857618,1.0095399326086045,0.0,0.0,,,1400.0
0.0,1.88,0.6717602115780194,1.4299919443939,0.9823313422501088,0.0,0.0,,,1600.0
0.0,2.11,0.6732295033793712,1.4802873606607208,0.8299236012250185,0.0,0.0,,,1800.0
0.0,2.35,0.6770496620628856,1.4703039984089328,0.6080247259885073,0.0,0.0,,,2000.0
0.0,2.58,0.675580370261534,1.4949924631869131,0.6252595225721598,0.0,0.0,,,2200.0
0.0,2.82,0.6732295033793712,1.4790517973362998,0.6511916733533144,0.0,0.0,,,2400.0
0.0,3.05,0.6661769027328828,1.5259279697879495,0.6376821229606867,0.0,0.0,,,2600.0
0.0,3.29,0.6720540699382898,1.5492296523025657,0.3934521596506238,0.0,0.0,,,2800.0
0.0,3.52,0.6758742286218042,1.5762563506768026,0.40409794021397827,0.0,0.0,,,3000.0
0.0,3.76,0.6691154863355863,1.5811733917461541,0.4098581215366721,0.0,0.0,,,3200.0
0.0,final,0.6770496620628856,,,,,0.6785189538642374,1.4563119599933383,2000.0
