seed,lambda,step,epoch,val_acc,val_ce,train_ce,train_embed_loss,embed_frac,test_acc,test_ce
1011,20.0,4200,4.93,0.6500146929180135,1.6804672350366432,0.42599191930145025,0.03184988261200487,0.5993,,
1011,20.0,4400,5.16,0.6523655598001763,1.710037062317352,0.3300342811085284,0.024917728500440717,0.6016,,
1011,20.0,4600,5.4,0.6561857184836909,1.701604099158781,0.30107377970591187,0.02246032552793622,0.5987,,
1011,20.0,4800,5.63,0.6447252424331472,1.7507929430616067,0.2842234384268522,0.021327017182484267,0.6001,,
1011,20.0,5000,5.87,0.6464883925947693,1.735937151669265,0.32043899316340685,0.024171872166916727,0.6014,,
1011,20.0,5200,6.1,0.6570672935645019,1.7795027547326818,0.2583790316712111,0.018857226306572557,0.5934,,
1011,20.0,5400,6.34,0.6526594181604467,1.7955509966133694,0.18981300920248032,0.013344381069764495,0.5844,,
1011,20.0,5600,6.57,0.6488392594769321,1.7852957961911704,0.2060269886814058,0.01540499641560018,0.5993,,
1011,20.0,5800,6.81,0.6500146929180135,1.784002165145605,0.2144623638689518,0.015994759975001216,0.5987,,
1011,20.0,6000,7.04,0.6567734352042316,1.8520279872287837,0.18486363366246222,0.01388018775731325,0.6003,,
1011,20.0,5200,final,0.6570672935645019,,,,,0.657948868645313,1.7818009565411124
2024,20.0,200,0.23,0.62180429033206,1.6305544328030999,1.9249656704068183,0.14972957715392113,0.6087,,
2024,20.0,400,0.47,0.6347340581839553,1.5843183203651525,1.6404015889763832,0.13212930966168643,0.617,,
2024,20.0,600,0.7,0.6473699676755804,1.514077062926291,1.6452193853259087,0.13003086077049375,0.6125,,
2024,20.0,800,0.94,0.6479576843961211,1.489676980351547,1.5783015331625938,0.12334075842052698,0.6098,,
2024,20.0,1000,1.17,0.6511901263590949,1.5139875268711962,1.2428084430098534,0.09783221134915948,0.6116,,
2024,20.0,1200,1.41,0.6558918601234205,1.4943403132060609,1.1599207679927348,0.09051068319007755,0.6095,,
2024,20.0,1400,1.64,0.6635321774904496,1.4803150995948404,1.1516974025964737,0.08912302171811462,0.6075,,
2024,20.0,1600,1.88,0.6758742286218042,1.4450672797304793,1.1384025029838085,0.08725392624735832,0.6052,,
2024,20.0,1800,2.11,0.6650014692918014,1.4954098614741171,0.9657887383038178,0.07312674357555807,0.6023,,
2024,20.0,2000,2.35,0.6667646194534235,1.5090512522101367,0.8244911035895348,0.062045725053176286,0.6008,,
2024,20.0,2200,2.58,0.6652953276520717,1.5155542235216113,0.8126664055883884,0.06326788341626526,0.6089,,
2024,20.0,2400,2.82,0.6720540699382898,1.5029272581597057,0.825999838039279,0.063412971124053,0.6056,,
2024,20.0,2600,3.05,0.6673523361739642,1.5361914033578699,0.7855420967936516,0.05968196913599968,0.6031,,
2024,20.0,2800,3.29,0.6746987951807228,1.5295945269340563,0.5928320582956076,0.04474962530657649,0.6015,,
2024,20.0,3000,3.52,0.6629444607699089,1.5576559606454599,0.5902694527059793,0.043961532739922406,0.5983,,
2024,20.0,3200,3.76,0.6673523361739642,1.5664595219796804,0.6034375020116568,0.04517135726287961,0.5995,,
2024,20.0,3400,3.99,0.6667646194534235,1.5770443331449129,0.5953685767948628,0.04424182500690222,0.5978,,
2024,20.0,3600,4.23,0.6567734352042316,1.623105123503363,0.4075163843040355,0.02978115452453494,0.5938,,
2024,20.0,3800,4.46,0.6558918601234205,1.634431020568267,0.42657909862697124,0.030796645767986776,0.5908,,
2024,20.0,4000,4.69,0.6650014692918014,1.654782947883023,0.4202268265932798,0.030805588765069843,0.5945,,
2024,20.0,4200,4.93,0.6641198942109903,1.6525169730431677,0.41727099439129234,0.03153591924346984,0.6018,,
2024,20.0,4400,5.16,0.6594181604466647,1.6747451951985075,0.3295749696006533,0.024661413757130504,0.5994,,
2024,20.0,4600,5.4,0.6561857184836909,1.6927002513895586,0.28872659400105477,0.02082856874912977,0.5906,,
2024,20.0,4800,5.63,0.6626506024096386,1.714616449237255,0.3019811444170773,0.022743758745491505,0.601,,
2024,20.0,5000,5.87,0.6664707610931531,1.6806556354926818,0.29540625121444464,0.021615258995443584,0.5941,,
2024,20.0,5200,6.1,0.6532471348809874,1.7666509483549269,0.27153014777228235,0.02155012609437108,0.6135,,
2024,20.0,5400,6.34,0.6555980017631502,1.7564480421019764,0.19896036760881544,0.014532532477751374,0.5936,,
2024,20.0,5600,6.57,0.6558918601234205,1.7526567214172166,0.18306545202620328,0.013182151950895787,0.5902,,
2024,20.0,5800,6.81,0.6553041434028798,1.78547089239306,0.20888225795701146,0.01532182501628995,0.5947,,
2024,20.0,6000,7.04,0.6614751689685572,1.7642729985093917,0.1873417657887785,0.013934625368565321,0.598,,
2024,20.0,1600,final,0.6758742286218042,,,,,0.6893917131942404,1.3759250797806437
3000,20.0,200,0.23,0.6364972083455774,1.5722433089894685,1.9160022017359735,0.14863784903660415,0.6081,,
3000,20.0,400,0.47,0.64707610931531,1.5058251312295374,1.6939606863260268,0.13336158340796828,0.6116,,
3000,20.0,600,0.7,0.658830443726124,1.4566956110081881,1.622448044717312,0.1274414687603712,0.611,,
3000,20.0,800,0.94,0.6617690273288275,1.4302820512171601,1.5611882090568543,0.12547950379550457,0.6165,,
3000,20.0,1000,1.17,0.6591243020863944,1.4419534723793028,1.241842194646597,0.09762896666303277,0.6112,,
3000,20.0,1200,1.41,0.6641198942109903,1.4334384185529407,1.1538602203130721,0.08962990265339613,0.6084,,
3000,20.0,1400,1.64,0.6635321774904496,1.4392943747194942,1.1738770194351673,0.09107392834499478,0.6081,,
3000,20.0,1600,1.88,0.6711724948574787,1.4135271121027748,1.1706792613863946,0.08965093668550253,0.605,,
3000,20.0,1800,2.11,0.670584778136938,1.4848215756103147,1.00995649471879,0.07770194083452225,0.6061,,
3000,20.0,2000,2.35,0.6758742286218042,1.4517584397552505,0.8028197468072176,0.061173686506226656,0.6038,,
3000,20.0,2200,2.58,0.6820452541874816,1.4597791818496306,0.8360029518604278,0.06297133693471552,0.601,,
3000,20.0,2400,2.82,0.675580370261534,1.451741032120658,0.8453051292896271,0.06416267452761532,0.6029,,
3000,20.0,2600,3.05,0.677343520423156,1.4766517447489975,0.8092488432768732,0.060692456169053915,0.6,,
3000,20.0,2800,3.29,0.6735233617396414,1.5329514466381549,0.5620559461414814,0.042803184613585475,0.6037,,
3000,20.0,3000,3.52,0.6741110784601821,1.4825207048607265,0.6268012489378453,0.04693024148233235,0.5996,,
3000,20.0,3200,3.76,0.6726417866588305,1.4863346904612555,0.6104423896595835,0.04599986962974072,0.6011,,
3000,20.0,3400,3.99,0.6761680869820746,1.4947568565090368,0.6149478178843856,0.045949591845273974,0.5991,,
3000,20.0,3600,4.23,0.6685277696150456,1.5580510950302189,0.41916230758302847,0.03083978222683072,0.5954,,
3000,20.0,3800,4.46,0.670584778136938,1.5570973674606619,0.41554727863520385,0.03102292625233531,0.5989,,
3000,20.0,4000,4.69,0.6655891860123421,1.5940345635343711,0.4218015124835074,0.03092520659789443,0.5945,,
3000,20.0,4200,4.93,0.67234792829856,1.5833020650119667,0.4483663547039032,0.03316152675077319,0.5966,,
3000,20.0,4400,5.16,0.6764619453423449,1.6212476339544788,0.3370597797515802,0.025011948421597482,0.5974,,
3000,20.0,4600,5.4,0.6720540699382898,1.6445306713550258,0.2890649935044348,0.021268216324970127,0.5954,,
3000,20.0,4800,5.63,0.6702909197766677,1.6119908065856152,0.3120104057900608,0.02293183168396354,0.5951,,
3000,20.0,5000,5.87,0.6770496620628856,1.6426880200829466,0.3001777331344783,0.022634053537622094,0.6013,,
3000,20.0,5200,6.1,0.670584778136938,1.6804264875727124,0.2524988220911473,0.01856566430069506,0.5952,,
3000,20.0,5400,6.34,0.6761680869820746,1.6810089512026174,0.19637479370459915,0.014560436280444265,0.5972,,
3000,20.0,5600,6.57,0.6717602115780194,1.7017029198327207,0.19439149500802158,0.014276506220921874,0.595,,
3000,20.0,5800,6.81,0.6744049368204525,1.6815168389915334,0.19329398806206882,0.014454523026943207,0.5993,,
3000,20.0,6000,7.04,0.67234792829856,1.7013766854222017,0.2328666471503675,0.01757538446225226,0.6015,,
3000,20.0,2200,final,0.6820452541874816,,,,,0.6676461945342345,1.5189900737701358
4000,20.0,200,0.23,0.6244490155744931,1.6033914454747675,1.884690232872963,0.14451375365257263,0.6053,,
4000,20.0,400,0.47,0.6347340581839553,1.5421274293530454,1.7399144604802133,0.13915474951267243,0.6153,,
4000,20.0,600,0.7,0.652953276520717,1.4758854578286102,1.5838810259103775,0.12699969256296753,0.6159,,
4000,20.0,800,0.94,0.6597120188069351,1.4542590822152028,1.5191133105754853,0.12060711061581969,0.6136,,
4000,20.0,1000,1.17,0.6655891860123421,1.448660649221293,1.2491064147290307,0.09773821488022805,0.6101,,
4000,20.0,1200,1.41,0.6635321774904496,1.4522288656045577,1.1410214421153069,0.0891801100037992,0.6099,,
4000,20.0,1400,1.64,0.6720540699382898,1.4511738369263798,1.1252671141922475,0.08787393558770418,0.6097,,
4000,20.0,1600,1.88,0.6679400528945049,1.4434666862881538,1.170415029078722,0.09153274221345782,0.61,,
4000,20.0,1800,2.11,0.6658830443726124,1.4988050855085355,1.0130615466088058,0.07719329840503633,0.6038,,
4000,20.0,2000,2.35,0.6644137525712607,1.5028284205221758,0.8241964115202427,0.06253727619536222,0.6028,,
4000,20.0,2200,2.58,0.6717602115780194,1.4575705432275305,0.8214110455662013,0.06174141727387905,0.6005,,
4000,20.0,2400,2.82,0.6676461945342345,1.4779497809596458,0.8400365153700113,0.06474176360294223,0.6065,,
4000,20.0,2600,3.05,0.670584778136938,1.5313842466498977,0.7708110802387819,0.05780015637166798,0.6,,
4000,20.0,2800,3.29,0.6667646194534235,1.539648137511557,0.5592692830041051,0.042594861919060346,0.6037,,
4000,20.0,3000,3.52,0.6749926535409932,1.5253432599404542,0.6084463407471776,0.0460176304820925,0.602,,
4000,20.0,3200,3.76,0.6726417866588305,1.532496707109434,0.6209019641205669,0.04609875895082951,0.5976,,
4000,20.0,3400,3.99,0.6673523361739642,1.5497724815322973,0.5881198175624013,0.044760232754051686,0.6035,,
4000,20.0,3600,4.23,0.6685277696150456,1.599047761645837,0.39773037791252136,0.02985073418356478,0.6002,,
4000,20.0,3800,4.46,0.6699970614163973,1.602408362545408,0.43634702591225505,0.03231401621364057,0.597,,
4000,20.0,4000,4.69,0.6711724948574787,1.6053866927426876,0.4349252796173096,0.03244974636472762,0.5987,,
4000,20.0,4200,4.93,0.6673523361739642,1.6167151522993726,0.42484865674749017,0.03164371684193611,0.5983,,
4000,20.0,4400,5.16,0.6682339112547752,1.6318785297390717,0.29848394497297703,0.021865349197760224,0.5943,,
4000,20.0,4600,5.4,0.6641198942109903,1.6509569833778193,0.2872387222200632,0.021782557740807534,0.6027,,
4000,20.0,4800,5.63,0.66382603585072,1.6784621614272055,0.29610841990448533,0.022077839309349655,0.5986,,
4000,20.0,5000,5.87,0.6664707610931531,1.641372754894002,0.3138125332817435,0.02356393783353269,0.6003,,
4000,20.0,5200,6.1,0.6635321774904496,1.722692756242273,0.2511447720968226,0.018175527630373837,0.5914,,
4000,20.0,5400,6.34,0.6661769027328828,1.7229512225450083,0.18302951990626753,0.013802107544615866,0.6013,,
4000,20.0,5600,6.57,0.6623567440493682,1.7054999099911363,0.20019719129428268,0.014731068387627602,0.5954,,
4000,20.0,5800,6.81,0.6600058771672054,1.7182647103146529,0.19437881400808693,0.01476703473366797,0.6031,,
4000,20.0,6000,7.04,0.6688216279753159,1.7239616129141222,0.20618240863084794,0.015481298537924886,0.6003,,
4000,20.0,3000,final,0.6749926535409932,,,,,0.6670584778136938,1.5537502168382997
5000,20.0,200,0.23,0.6194534234498972,1.6338551469385851,1.9102379834651948,0.14838560450822114,0.6084,,
