lambda,epoch,val_acc,val_ce,train_ce,train_embed_loss,embed_frac,test_acc,test_ce,step,seed
1.0,3.76,0.6752865119012635,1.5310054752530156,0.4257422802597284,0.0369754945207387,0.0799,,,3200.0,42
1.0,3.99,0.6717602115780194,1.5583904496394918,0.4377394391968846,0.0382078788802027,0.0803,,,3400.0,42
1.0,4.23,0.6714663532177491,1.6086594422547351,0.2785268744081259,0.0251163483783602,0.0827,,,3600.0,42
1.0,4.46,0.6714663532177491,1.6206703916511709,0.2474166561104357,0.0217357313912361,0.0808,,,3800.0,42
1.0,4.69,0.6738172200999119,1.6043868454508736,0.2581077117100358,0.0227139142155647,0.0809,,,4000.0,42
1.0,final,0.6788128122245077,,,,,0.6870408463120776,1.495752480462338,2800.0,42
0.5,0.23,0.636203349985307,1.551644989787709,1.885394729077816,0.1495885330811143,0.0382,,,200.0,42
0.5,0.47,0.6582427270055833,1.4782076591678903,1.6275696688890458,0.1320355888456106,0.039,,,400.0,42
0.5,0.7,0.6614751689685572,1.4475222874171167,1.5164891746640206,0.1228888060711324,0.0389,,,600.0,42
0.5,0.94,0.6685277696150456,1.4010224394279125,1.559122483730316,0.1267881765961647,0.0391,,,800.0,42
0.5,1.17,0.6655891860123421,1.4326134473304346,1.1602586287260055,0.0980189592391252,0.0405,,,1000.0,42
0.5,1.41,0.6717602115780194,1.4146960397397914,1.032078062146902,0.0873814142495393,0.0406,,,1200.0,42
0.5,1.64,0.6732295033793712,1.4116834165102028,1.0356501093506814,0.0874781813845038,0.0405,,,1400.0,42
0.5,1.88,0.6761680869820746,1.402742619387304,1.0077671749889852,0.0851063804049044,0.0405,,,1600.0,42
0.5,2.11,0.67234792829856,1.4799793605336085,0.8124137864261866,0.070781179247424,0.0417,,,1800.0,42
0.5,2.35,0.6691154863355863,1.4790114476650629,0.6418152540922165,0.0551346937380731,0.0412,,,2000.0,42
0.5,2.58,0.6770496620628856,1.4741168599635968,0.6401061617583036,0.0557636291161179,0.0417,,,2200.0,42
0.5,2.82,0.6802821040258595,1.4613964947626377,0.6755251039564609,0.0582368643395602,0.0413,,,2400.0,42
0.5,3.05,0.6796943873053188,1.5000622722109802,0.5834519131109118,0.0508632124122232,0.0418,,,2600.0,42
