anchor_token,spearman_r,p_value,n_pairs
 every,-0.2528267985567641,1.4417499138595794e-11,693
 him,-0.25274208889275634,3.1294911176282003e-30,1980
(,-0.2522121671193637,3.994722327082691e-20,1287
 ideas,-0.25218001584674904,2.159872786685418e-14,891
 may,-0.25198754024224335,1.6200422711212098e-21,1386
 lack,-0.2519058711266317,3.791171421876489e-07,396
 would,-0.2493152556856686,5.068561306725946e-53,3663
 reported,-0.2481767380616295,1.512594584163201e-05,297
The,-0.24754514528700988,1.2258196719880655e-162,11682
our,-0.24717388245294536,2.517483006733301e-08,495
 You,-0.2467736384780458,1.880585963510599e-12,792
 she,-0.24635218445530488,2.634928785858891e-42,2970
 period,-0.24579522306946416,3.02495285327378e-08,495
 where,-0.24538708438936005,1.1000786163131018e-13,891
 door,-0.24494431967119137,6.305149252903873e-11,693
 it,-0.24417416615755577,0.0,23166
 cells,-0.24407003709793892,8.827517112104355e-07,396
 lyrics,-0.24399928955456718,2.1214349746687395e-05,297
 sold,-0.24354445379462047,9.3329690821723e-07,396
 Z,-0.24354434416638168,9.333077351093971e-07,396
 US,-0.2424381825086733,4.708917879047355e-08,495
 says,-0.24076190533701403,5.859216204024501e-08,495
 week,-0.24047312858472528,7.376790286785115e-25,1782
 got,-0.24045168032737996,7.449671343063578e-25,1782
 h,-0.2404175901821378,2.8218257480040947e-05,297
;,-0.23967455947544788,1.1316067122998098e-33,2475
 gifts,-0.23959668129592543,1.4122043003997876e-06,396
 talk,-0.23913594046082604,3.5953205793768746e-09,594
 12,-0.23893614456297596,7.420384410410155e-08,495
anks,-0.23885575720756577,3.753871659211962e-09,594
 address,-0.23863670400857967,1.5601704406226118e-06,396
OL,-0.23841965488024303,3.3023573352041265e-05,297
 son,-0.23795243200577693,2.2371797387731935e-10,693
 2018,-0.23791067882938755,1.1815985749873466e-11,792
10,-0.2377883644838634,1.3685118660701747e-25,1881
G,-0.236721595549017,9.857083946652456e-08,495
v,-0.23658932610966232,3.8095670191110636e-05,297
 couple,-0.2364368066489277,1.9572911377863606e-06,396
 create,-0.23606027359732354,2.979680261996539e-20,1485
 present,-0.23567305933523688,2.1165265875331077e-06,396
 Awards,-0.23503785524187398,6.722455269958364e-09,594
 he,-0.23482862142291183,6.983627155464533e-134,10692
ello,-0.2344538235656025,4.4942277948779225e-05,297
 sent,-0.23412074367711452,4.4040509031547586e-10,693
 Washington,-0.23396167778332871,4.6677026116832445e-05,297
 attempt,-0.2333139192466933,4.905670766688604e-05,297
 into,-0.2332736426327891,3.687547599408784e-62,4950
 dog,-0.23312651912236718,1.553701276505149e-07,495
 apply,-0.2327387731797153,5.606479677290184e-10,693
'll,-0.23223564414366507,6.119187225240862e-10,693
 south,-0.23209467225464955,5.3849413420345604e-05,297
 internet,-0.23061568225298631,6.0255798326748754e-05,297
 heard,-0.2290724184894182,1.6377570151940044e-08,594
 Mary,-0.2282363192195208,4.471130383015856e-06,396
 through,-0.2282159679989176,3.958157248116754e-27,2178
 which,-0.22759848349341735,3.042719473008267e-75,6336
 Francisco,-0.227134532316443,7.82811937641751e-05,297
 Real,-0.22712001515274013,7.836601641318341e-05,297
 scene,-0.22695557253899423,5.073028576861646e-06,396
100,-0.2269169273874155,3.3514441703014167e-07,495
 came,-0.22611384461349285,3.695925892680179e-07,495
 having,-0.2258624427273728,8.605104973300869e-05,297
br,-0.22569878131857382,8.710175600150047e-05,297
ides,-0.2256350582203758,1.3369309429104355e-10,792
do,-0.2251233692718273,9.089242418043548e-05,297
and,-0.22499834668781427,3.8809644088931055e-42,3564
 provide,-0.22482621367174832,2.3375918964453e-26,2178
 mission,-0.22464044630245694,4.4184876029123984e-07,495
 75,-0.2233634093241669,0.00010347143344222711,297
ren,-0.22292665794182243,7.5118455961247566e-06,396
 flavor,-0.22274907710117767,7.641681047864907e-06,396
 The,-0.22266287636322113,3.3681044743476077e-282,25344
htra,-0.2222377455544085,0.0001123552458792729,297
 began,-0.22220127867616746,0.00011265467794262604,297
 building,-0.2221850645366425,7.377866529649962e-16,1287
 focus,-0.22193775865050078,8.262539229675744e-06,396
 see,-0.22053807967246522,1.371273823396436e-41,3663
.,-0.21990129609555592,0.0,371151
ulate,-0.2196475136421061,0.00013558908051200194,297
 activities,-0.21947353313183557,8.186094242747066e-07,495
 training,-0.21890749543115282,1.1033333783911925e-05,396
 created,-0.21870120245127161,5.974868343365317e-09,693
 get,-0.21837613148872528,1.271100857581467e-56,5148
ce,-0.21769214715130042,1.2376153830279591e-05,396
 FREE,-0.21710819688298547,0.0001626778212423638,297
 down,-0.21692253632208341,1.1824403212186788e-25,2277
